sl no,date,daily travel emission,daily energy emission,daily dietary emission,daily waste emission,daily water emission,daily appliances emission,daily activity emission
1,12/2/2018,3.498,17.938,2,3.29,2.458,4.685,31.662
2,11/2/2018,3.323,12.267,2.688,3.34,3.284,1,43.027
3,12/2/2018,1.35,5,12,4.57,5,2.578,17
4,2/3/2018,3.71,5.629,2,4.22,1,1,17
5,19/2/2018,4.541,20,4.654,1,5,3.529,33.257
6,12/2/2018,1.848,16.841,7.815,1.67,2.14,3.396,20.425
7,11/2/2018,5,5,10.086,4.13,4.227,5,42.171
8,6/7/2018,2.635,13.022,7.134,3.4,1,3.429,44.616
9,11/2/2018,1.36,20,8.298,2.72,2.512,3.371,33.126
10,11/2/2018,4.687,13.512,2,3.43,3.524,2.457,29.726
11,5/2/2018,1.399,19.366,2,1,1.786,1.406,27.52
12,19/2/2018,5,14.656,11.922,4.18,1,3.483,46.037
13,12/6/2018,5,10.923,6.461,1.91,4.504,1,38.535
14,12/2/2018,4.669,11.849,12,4.19,4.431,3.984,41.63
15,3/2/2018,3.195,10.719,2,3.03,4.495,3.658,27.682
16,28/10/2018,3.498,10.292,7.006,1.65,1.902,1,40.473
17,20/2/2018,1.965,20,2,1,2.521,4.394,42.899
18,3/2/2018,5,10.631,10.684,3.29,1.922,2.575,37.878
19,11/11/2018,4.378,5,12,3.41,4.515,1.777,24.849
20,25/2/2018,5,17.23,2,3.34,2.462,4.338,32.051
21,25/2/2018,1.979,20,11.829,3.36,1.587,5,46.061
22,4/2/2018,2.63,20,2,2.45,1.27,1.956,45.224
23,1/2/2018,1.65,5.498,10.541,3.88,4.939,1.005,26.73
24,2/2/2018,1,5,2.577,1,1.921,4.678,43.883
25,10/2/2018,3.187,5,2,3.3,1,1.694,25.902
26,24/2/2018,2.922,13.458,2,1.41,2.911,5,44.176
27,3/3/2018,5,13.125,11.937,4.66,2.52,2.856,24.445
28,20/6/2018,1,5,7.01,2.58,1.472,3.401,20.682
29,3/2/2018,2.294,13.973,4.375,4.42,3.17,1,46.547
30,27/2/2018,4.908,11.582,2,2.5,1,1.659,22.008
31,17/2/2018,4.389,5,6.6,1.74,2.428,1,47
32,10/11/2018,5,10.281,7.823,2.56,4.219,1.531,30.704
33,17/2/2018,2.65,5,7.12,4.37,1.87,1,41.157
34,20/2/2018,4.402,12.897,2,3.47,2.496,5,28.21
35,1/3/2018,5,6.364,2,3.49,4.685,4.676,44.574
36,19/6/2018,1,5,12,1,2.622,4.616,32.675
37,16/2/2018,2.647,7.383,2,3.41,1.232,1.548,33.988
38,19/3/2019,5,10.973,10.452,2.96,3.205,3.616,20.376
39,2/2/2018,2.574,5.656,12,1,3.429,4.533,47
40,10/11/2018,1.509,18.844,7.925,2.13,3.141,5,21.535
41,27/2/2018,5,10.291,9.836,4.32,1.434,3.442,33.808
42,13/2/2018,4.56,13.165,6.058,3.04,1.293,4.198,26.759
43,9/11/2018,1.295,12.595,4.445,3.45,1.641,4.318,40.142
44,27/2/2018,1.802,15.99,4.981,3.33,2.929,4.506,39.893
45,19/2/2018,2.468,5,12,2.46,3.154,1.585,29.097
46,27/2/2018,1,7.597,2,4.82,1.914,1.674,21.666
47,19/2/2018,1.458,5,8.133,3.68,3.16,2.493,19.981
48,26/10/2018,2.48,11.757,8.277,1.59,1,4.248,28.056
49,9/2/2018,4.566,5,2.585,1.55,1.662,1.136,36.531
50,27/2/2018,4.373,5,2,1.44,1.7,3.87,47
51,4/3/2018,2.675,14.071,2.744,4.44,1,2.341,20.315
52,18/2/2018,1.436,11.538,9.19,4.07,1,1,23.353
53,2/1/2018,3.387,20,12,1.8,1.554,4.373,47
54,9/2/2018,2.543,8.943,2,2.44,4.539,4.289,46.646
55,15/2/2018,3.296,12.581,2,1.63,3.08,1.084,20.622
56,12/2/2018,1.518,10.424,4.614,3.96,1.905,4.676,20.302
57,12/2/2018,1.429,15.966,2,3.4,1,1.723,21.16
58,12/6/2018,1,5,6.763,3.54,3.507,4.003,21.508
59,11/2/2018,5,5,2,2.56,2.122,2.396,23.289
60,23/10/2018,4.027,5,12,3.93,2.38,2.009,20.924
61,4/2/2018,1,5,11.42,3.48,4.597,3.488,33.812
62,12/2/2018,1.366,5,2,1.6,3.504,3.431,28.455
63,11/2/2018,3.1,19.685,3.699,1.44,1,5,43.437
64,27/1/2018,3.685,18.326,2,3.39,1.914,4.455,47
65,20/2/2018,4.342,15.474,3.659,3.52,2.596,4.624,41.57
66,27/2/2018,4.71,11.757,9.892,4.44,3.53,3.648,45.599
67,16/10/2018,1.746,10.451,9.327,4.07,1.484,4.62,19.505
68,2/2/2018,2.683,11.968,7.196,3.28,1.733,4.101,30.927
69,9/6/2018,2.798,5,12,4.67,4.585,1,25.058
70,26/10/2018,3.839,12.266,12,4.2,1,5,17
71,4/2/2018,4.056,6.785,9.51,3.36,3.522,1.83,21.615
72,27/2/2018,2.48,10.406,2,4.03,3.52,1.682,19.843
73,11/2/2018,1.339,16.096,5.465,1.38,1,1.301,47
74,28/2/2018,1.487,5,12,1.82,3.479,3.857,17
75,27/2/2018,1.779,5,12,1.72,1.736,4.713,22.418
76,11/2/2018,2.498,5,2,3.27,1.866,4.351,42.861
77,10/11/2018,4.01,5,2,1,4.192,3.559,24.281
78,25/10/2018,3.45,13.485,5.706,3.81,1.659,4.025,36.031
79,12/2/2018,1.355,6.984,2,5,1.352,3.325,17.209
80,19/2/2018,1.348,5,12,3.36,1.778,3.273,20.271
81,9/2/2018,3.381,5,7.677,2.84,3.191,3.518,20.84
82,19/2/2018,1.335,17.559,2.933,3.29,3.698,1.443,35.977
83,11/2/2018,3.867,13.835,2,4.47,2.906,3.752,33.594
84,19/6/2018,1,16.529,8.298,1.73,1.446,3.984,17.007
85,17/2/2018,4.007,6.002,12,4.2,2.728,1,21.45
86,1/2/2018,4.171,5,2,2.43,1,1,39.564
87,27/2/2018,2.615,20,2,1.59,1.437,2.903,29.785
88,2/11/2018,2.911,5.052,2,2.52,1.467,4.762,24.869
89,25/10/2018,3.094,10.331,3.751,2.44,5,4.814,34.575
90,27/2/2018,4.092,5,8.146,1.75,4.669,4.428,43.789
91,27/2/2018,5,10.452,2,3.36,1.774,5,40.127
92,27/2/2018,3.178,5,12,3.55,3.474,5,37.113
93,12/2/2018,2.961,10.966,11.292,4.48,1.915,4.106,17
94,11/2/2018,3.118,7.212,2,3.76,2.849,3.682,47
95,12/2/2018,2.699,11.626,7.791,2.1,4.626,2.164,39.883
96,12/2/2018,2.472,14.777,3.674,4.6,2.469,4.084,17
97,28/2/2018,3.296,19.917,7.008,3.33,3.765,4.579,17
98,5/7/2018,4.394,13.828,4.41,2.72,1.066,4.402,17
99,27/2/2018,2.596,6.592,2,2.18,2.497,3.293,17
100,12/2/2018,4.552,5,9.587,4.19,3.507,4.663,38.15
101,12/2/2018,4.664,5,11.459,1.43,1.676,4.67,40.303
102,9/2/2018,4.27,5,12,3.22,4.095,3.751,28.979
103,26/10/2018,3.201,5,12,3.93,1.801,2.253,47
104,11/2/2018,3.399,5,2,1.63,4.718,3.487,25.681
105,4/2/2018,4.776,8.216,2.192,1,1.748,4.656,40.596
106,11/2/2018,2.593,20,8.662,1.45,4.53,1,36.428
107,27/2/2018,4.021,5,10.858,3.5,1,1.382,42.546
108,11/2/2018,2.584,5.86,2,1,3.482,5,36.549
109,19/6/2018,2.495,5,7.68,1.44,5,4.684,35.37
110,12/2/2018,4.507,11.206,12,1,3.53,1.912,46.86
111,12/2/2018,3.061,5,2,3.27,1.025,4.577,47
112,14/11/2018,1.592,12.393,2.931,2.73,1,3.487,22.432
113,27/2/2018,2.582,14.164,2,1.72,1.024,3.496,21.077
114,10/1/2018,3.498,14.394,9.87,1,1.538,1.942,42.405
115,11/11/2018,4.545,5,11.081,3.36,4.723,3.799,39.115
116,11/2/2018,2.042,20,2,3.49,3.381,1.931,39.672
117,12/2/2018,1,13.841,7.352,3.27,2.234,4.704,37.12
118,25/2/2018,2.534,12.014,2,3.27,1.631,3.891,41.674
119,1/2/2018,2.463,5,12,3.41,3.52,4.244,44.755
120,18/6/2018,2.229,5,12,3.57,1.082,3.316,21.848
121,12/2/2018,2.951,17.559,2,3.28,3.447,2.729,37.496
122,11/11/2018,2.955,5,7.701,1,3.292,4.5,34.08
123,11/2/2018,1,5,2,3.41,3.4,1,46.62
124,3/2/2018,4.005,20,2.129,1.47,3.241,3.671,21.146
125,18/5/2018,1.479,5,2,3.41,4.654,5,47
126,12/2/2018,2.927,5,8.018,1.23,2.451,2.091,46.328
127,12/2/2018,4.017,12.484,12,3.92,4.637,4.276,29.852
128,12/2/2018,1.363,16.923,2,1,2.979,4.723,46.624
129,27/2/2018,3.088,5,2,1,5,2.986,34.655
130,27/2/2018,3.339,5,12,5,3.3,5,25.049
131,4/2/2018,2.243,16.069,3.939,3.46,2.45,3.613,23.865
132,3/2/2018,2.545,7.439,8.237,2.46,2.718,1.839,23.075
133,4/2/2018,2.048,14.791,2,3.37,4.029,4.305,41.525
134,11/2/2018,3.248,10.733,2,2.6,1.45,1.465,47
135,26/10/2018,4.163,20,7.272,4.12,1,3.379,29.058
136,11/2/2018,1.71,12.58,2,3.31,2.337,3.122,30.413
137,11/2/2018,3.07,7.558,2,3.38,2.511,4.185,26.417
138,27/2/2018,4.227,9.632,4.371,2.03,3.869,3.302,23.218
139,4/3/2018,2.479,9.13,7.159,4.6,2.488,3.602,21.61
140,3/2/2018,1.355,16.703,6.934,3.58,4.444,3.319,46.318
141,11/2/2018,2.752,20,2,3.3,1,5,25.353
142,1/2/2018,1.726,20,3.093,3.3,2.509,1.927,23.172
143,12/2/2018,4.549,20,3.406,2.49,2.52,1.913,17
144,16/2/2018,1,14.058,9.536,2.57,1.598,4.372,22.14
145,3/3/2018,5,11.905,2.459,4.24,4.347,5,47
146,9/6/2018,1.806,9.774,6.334,1,1.87,3.534,47
147,4/2/2018,2.886,19.748,2.355,3.46,3.822,1.895,45.118
148,28/2/2018,1.708,11.426,10.323,2.67,4.661,1.639,43.895
149,20/6/2018,1.692,5,12,4.17,5,3.892,41.566
150,4/2/2018,1,11.312,12,2.47,1.649,4.703,41.274
151,3/2/2018,1.355,16.661,2.088,3.29,1,3.99,17
152,23/2/2018,1,5,12,3.36,1.76,5,47
153,26/10/2018,2.461,10.828,12,3.43,4.695,1,17.552
154,9/2/2018,1.762,17.232,2,1.43,1.416,4.841,25.611
155,1/2/2018,2.995,12.388,2.401,1.47,3.326,1.274,24.175
156,27/2/2018,5,5,5.85,1.53,1.805,1,47
157,25/10/2018,1.356,10.68,11.911,4.56,1.357,3.417,19.464
158,11/2/2018,3.51,16.706,2,1,3.441,1,47
159,27/2/2018,1.935,14.896,3.099,2.26,2.472,5,35.068
160,20/2/2018,2.491,12.575,4.049,3.95,1,4.706,17
161,3/2/2018,4.311,11.552,7.466,1,5,4.022,39.236
162,11/2/2018,1.617,5,7.351,1,3.676,1.915,32.157
163,24/10/2018,1,11.45,8.558,1.4,1.523,2.474,43.289
164,10/1/2018,4.23,10.929,2,3.53,3.148,5,17
165,25/10/2018,2.574,5.583,10.355,4.07,1.757,5,30.712
166,17/6/2018,3.281,9.41,2.014,1.8,3.518,4.599,47
167,15/2/2018,2.108,5,2,3.56,1.077,4.499,42.584
168,25/2/2018,3.29,5,10.873,3.87,4.361,2.569,36.331
169,11/11/2018,3.31,10.468,9.24,2.56,5,3.359,19.882
170,12/2/2018,3.314,13.331,2,1,2.668,4.481,47
171,11/2/2018,2.489,10.386,12,2.51,3.335,3.304,20.993
172,27/2/2018,4.139,15.259,3.266,3.37,3.391,2.575,41.037
173,24/10/2018,3.317,10.353,11.12,3.91,2.522,1,19.699
174,3/2/2018,3.397,13.416,8.156,3.21,1,1.885,25.716
175,18/10/2018,1.818,12.008,12,3.44,1,4.638,20.156
176,12/2/2018,3.389,5.498,12,3.69,1.94,3.573,25.544
177,11/2/2018,1,10.806,2,1.41,2.193,3.898,43.714
178,15/2/2018,2.514,5,2,3.3,2.821,1.68,25.813
179,11/2/2018,4.924,12.336,2,1,2.626,4.648,38.648
180,29/10/2018,2.487,12.249,2.49,3.91,1.801,3.046,19.589
181,4/2/2018,4.389,14.471,9.009,1,3.699,4.002,47
182,13/2/2018,2.509,14.018,5.839,1.45,1,3.75,17
183,12/6/2018,3.28,5,10.224,2.6,3.538,4.465,36.036
184,27/2/2018,2.513,20,2,4.33,1.397,3.325,29.852
185,27/2/2018,4.559,18.238,8.555,1.65,1,3.498,17
186,10/11/2018,2.743,10.358,8.967,2.57,1.831,1.306,27.823
187,10/6/2018,2.467,5.138,12,1,4.306,1.924,17
188,11/2/2018,4.014,5,6.951,3.98,1,4.251,35.393
189,19/2/2018,4.076,16.917,3.358,1.82,1.903,1,17
190,12/2/2018,5,16.248,4.699,4.14,2.785,2.603,41.69
191,11/2/2018,1,10.406,3.513,1.3,1,3.773,19.092
192,3/2/2018,4.885,5,10.183,1.78,3.414,3.782,36.955
193,11/2/2018,2.686,11.566,12,2.13,1.74,4.677,46.595
194,26/10/2018,1,11.262,5.686,3.37,3.362,3.659,19.066
195,12/2/2018,4.027,11.041,2,1.47,1.505,3.837,17
196,11/2/2018,4.368,16.516,2,3.27,3.418,1,42.237
197,11/2/2018,1,10.351,12,3.91,2.963,3.29,24.317
198,18/10/2018,4.56,8.737,4.393,3.22,4.054,2.624,43.735
199,11/2/2018,2.674,9.022,12,3.92,2.58,4.497,21.687
200,12/2/2018,1,10.342,3.934,3.28,1.841,3.587,46.029
201,20/2/2018,2.478,11.645,7.027,3.73,3.45,2.46,18.406
202,27/2/2018,1.522,10.303,12,3.77,1.875,4.296,20.223
203,11/2/2018,2.773,5,2,3.32,2.719,1.94,46.51
204,3/2/2018,2.381,6.285,10.331,4.68,1.461,1.153,42.179
205,9/2/2018,4.656,12.703,2,1.49,1.203,3.275,23.772
206,28/2/2018,1.402,13.224,2,2.43,2.645,4.021,47
207,12/2/2018,2.571,5,12,3.72,4.11,4.158,19.831
208,27/2/2018,1.569,5,2,1.76,1.827,2.479,20.292
209,25/2/2018,2.66,10.77,2,4.01,4.603,4.117,26.184
210,12/2/2018,1,12.897,6.449,3.36,2.882,3.445,32.401
211,29/10/2018,3.528,10.561,2,3.75,1.422,2.602,24.886
212,11/2/2018,1.833,5.783,6.687,1,2.712,4.201,47
213,28/2/2018,1,5,12,4.4,2.547,1.955,36.604
214,28/2/2018,2.903,14.826,2.385,3.29,2.616,4.594,40.641
215,11/2/2018,1,10.731,11.154,1,4.473,3.853,19.396
216,4/2/2018,2.483,12.918,3.485,3.28,1.494,3.6,38.472
217,2/3/2019,2.134,5,12,2.57,2.538,3.8,40.563
218,12/2/2018,3.355,5,12,3.57,1.88,1.669,33.486
219,14/11/2018,3.925,5,9.658,3.96,1,1,33.507
220,11/2/2018,2.515,17.965,2,2.6,1.392,1,29.503
221,27/2/2018,2.736,20,8.795,1.45,3.104,4.613,39.631
222,9/2/2018,2.852,10.558,7.768,1.11,2.462,1.53,31.025
